,gender,car,reality,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,family_size,begin_month,credit,income_mean,age_gen
129,1,0,0,315000.0,4,4,1,1,17537,1749,0,0,0,3.0,11.0,2.0,105000.0,4
130,0,0,1,297000.0,0,4,3,4,15519,3234,0,0,0,1.0,1.0,0.0,297000.0,4
131,0,1,0,202500.0,0,4,0,5,14228,5330,0,1,0,2.0,33.0,0.0,101250.0,3
132,0,0,0,225000.0,0,1,1,1,10559,429,1,1,0,2.0,35.0,2.0,112500.0,2
133,0,1,0,387000.0,4,1,1,1,13168,2574,0,0,0,3.0,22.0,2.0,129000.0,3
134,0,1,1,135000.0,1,4,4,1,22991,0,0,0,0,1.0,6.0,2.0,135000.0,6
135,1,1,0,337500.0,0,1,2,1,15333,196,0,1,0,2.0,23.0,0.0,168750.0,4
136,0,0,0,225000.0,0,4,0,1,12640,399,0,0,0,3.0,29.0,2.0,75000.0,3
137,0,1,1,225000.0,0,4,1,1,13591,3246,0,0,0,3.0,46.0,2.0,75000.0,3
138,0,0,1,54000.0,1,4,1,1,24367,0,0,0,0,2.0,2.0,0.0,27000.0,6
139,0,1,0,157500.0,0,4,1,1,13590,982,0,1,0,2.0,39.0,2.0,78750.0,3
140,1,1,1,180000.0,4,1,1,5,11917,1680,1,0,0,3.0,15.0,0.0,60000.0,3
141,0,1,1,112500.0,0,1,0,1,10551,3000,0,0,1,3.0,12.0,2.0,37500.0,2
142,1,1,1,360000.0,4,1,1,1,22456,1934,0,1,0,2.0,11.0,2.0,180000.0,6
143,0,1,1,256500.0,0,4,1,1,13821,1071,0,0,1,2.0,45.0,2.0,128250.0,3
144,0,1,0,180000.0,4,4,1,1,10351,1322,0,0,0,2.0,8.0,2.0,90000.0,2
145,0,1,0,202500.0,2,4,1,1,19598,11940,0,1,0,2.0,7.0,2.0,101250.0,5
146,0,0,0,247500.0,4,1,1,1,14136,7400,1,1,0,2.0,6.0,1.0,123750.0,3
147,0,0,1,157500.0,4,1,1,1,12681,709,0,0,0,2.0,11.0,1.0,78750.0,3
148,1,1,1,225000.0,4,4,1,1,14496,808,0,1,0,2.0,26.0,2.0,112500.0,3
149,0,0,1,112500.0,4,4,1,1,12974,2379,0,0,0,4.0,49.0,1.0,28125.0,3
150,0,1,0,157500.0,4,1,1,1,11900,2828,0,0,0,3.0,41.0,2.0,52500.0,3
151,1,1,1,360000.0,0,4,1,1,15344,314,0,0,0,2.0,33.0,2.0,180000.0,4
152,0,1,1,360000.0,4,4,2,1,10597,574,1,0,0,1.0,35.0,2.0,360000.0,2
153,1,1,1,180000.0,0,4,1,1,17975,3476,0,0,0,2.0,32.0,1.0,90000.0,4
154,0,0,0,175500.0,4,4,1,1,18868,10993,1,0,0,2.0,46.0,2.0,87750.0,5
155,0,0,1,90000.0,1,4,1,1,20362,0,0,0,0,2.0,35.0,2.0,45000.0,5
156,1,0,1,135000.0,4,4,2,1,16728,880,0,0,0,2.0,38.0,2.0,67500.0,4
157,1,0,1,157500.0,4,4,1,1,10087,1447,0,0,0,4.0,44.0,2.0,39375.0,2
158,1,0,1,202500.0,2,1,1,1,10756,2355,0,0,0,3.0,39.0,2.0,67500.0,2
159,0,0,1,153000.0,1,1,1,1,21899,0,0,1,0,2.0,51.0,1.0,76500.0,5
160,0,1,1,72000.0,4,4,1,1,17136,1266,0,0,0,3.0,11.0,2.0,24000.0,4
161,1,1,1,360000.0,4,4,1,1,13465,839,0,1,0,4.0,33.0,0.0,90000.0,3
162,0,0,0,540000.0,4,4,2,1,16409,2045,1,0,0,2.0,60.0,2.0,270000.0,4
163,0,0,1,155250.0,1,4,1,1,22044,0,0,0,0,2.0,24.0,2.0,77625.0,6
164,1,1,1,189000.0,4,4,1,1,20815,829,0,0,1,2.0,3.0,1.0,94500.0,5
165,0,0,1,139500.0,2,1,1,1,21017,895,1,1,0,2.0,4.0,1.0,69750.0,5
166,0,0,1,495000.0,1,4,4,1,21596,0,0,1,0,1.0,15.0,2.0,495000.0,5
167,1,1,0,459000.0,0,4,1,1,15980,119,1,1,0,2.0,14.0,2.0,229500.0,4
168,0,0,0,157500.0,4,4,1,1,19702,9870,1,1,0,2.0,21.0,1.0,78750.0,5
169,0,0,1,225000.0,4,4,2,1,14077,3792,0,0,0,2.0,3.0,1.0,112500.0,3
170,1,1,1,450000.0,0,4,1,1,18173,678,0,1,1,3.0,60.0,2.0,150000.0,4
171,0,0,0,135000.0,4,4,1,1,15499,869,0,0,0,2.0,2.0,0.0,67500.0,4
172,1,0,1,135000.0,4,4,1,1,15812,8091,0,0,0,3.0,49.0,1.0,45000.0,4
173,0,0,1,189000.0,1,4,1,1,23086,0,0,0,0,2.0,19.0,0.0,94500.0,6
174,0,0,1,225000.0,0,1,1,1,10755,1040,0,0,1,2.0,15.0,2.0,112500.0,2
175,1,0,1,112500.0,4,4,1,1,10705,1376,0,0,0,2.0,2.0,1.0,56250.0,2
176,0,1,0,315000.0,2,1,1,1,17940,9957,1,0,0,2.0,26.0,2.0,157500.0,4
177,0,0,0,157500.0,0,1,3,4,11785,1415,0,0,0,1.0,22.0,1.0,157500.0,3
178,1,0,0,126000.0,1,4,1,1,20288,0,0,0,0,2.0,12.0,2.0,63000.0,5
179,1,1,1,315000.0,0,4,1,4,16990,2026,0,0,0,2.0,19.0,2.0,157500.0,4
180,0,1,1,720000.0,0,1,2,1,20791,4814,1,1,0,1.0,58.0,2.0,720000.0,5
181,0,0,1,90000.0,1,4,1,1,20718,0,0,0,0,2.0,5.0,0.0,45000.0,5
182,0,0,1,67500.0,4,1,1,1,10281,961,1,0,0,4.0,12.0,0.0,16875.0,2
183,0,0,1,157500.0,1,4,1,1,22861,0,0,1,0,2.0,42.0,1.0,78750.0,6
184,1,1,0,225000.0,4,4,1,3,15092,995,0,0,1,2.0,46.0,2.0,112500.0,4
185,0,0,1,180000.0,4,3,4,1,16803,2227,1,1,0,1.0,49.0,2.0,180000.0,4
186,0,1,1,216000.0,4,1,1,1,18529,1809,0,0,0,2.0,10.0,2.0,108000.0,5
187,0,1,1,157500.0,0,4,1,1,13830,4239,0,0,0,3.0,4.0,1.0,52500.0,3
188,0,0,0,112500.0,1,4,4,1,20027,0,0,0,0,1.0,26.0,0.0,112500.0,5
189,0,0,1,112500.0,4,4,1,1,16573,4574,0,0,0,2.0,44.0,2.0,56250.0,4
190,0,0,1,90000.0,1,4,3,1,23262,0,0,1,0,1.0,13.0,0.0,90000.0,6
191,0,0,0,121500.0,1,4,1,1,21310,0,0,0,0,2.0,28.0,2.0,60750.0,5
192,0,0,1,135000.0,4,1,1,1,13299,1628,0,0,0,2.0,14.0,2.0,67500.0,3
193,1,1,0,202500.0,0,4,1,1,16224,2574,0,0,0,2.0,22.0,0.0,101250.0,4
194,1,1,0,252000.0,2,1,1,1,12483,1650,1,1,0,3.0,19.0,1.0,84000.0,3
195,0,0,1,202500.0,4,4,0,1,10981,552,0,0,0,2.0,5.0,2.0,101250.0,3
196,1,1,1,202500.0,4,4,1,1,9889,2289,0,0,0,2.0,36.0,2.0,101250.0,2
197,1,0,1,360000.0,4,4,0,1,11524,2554,0,0,0,3.0,49.0,2.0,120000.0,3
198,0,0,1,225000.0,2,4,1,1,13077,5394,1,0,0,4.0,26.0,1.0,56250.0,3
199,0,0,1,360000.0,4,4,1,1,15812,658,0,1,0,4.0,11.0,2.0,90000.0,4
200,1,1,1,202500.0,4,1,1,1,14646,1953,0,0,0,2.0,3.0,1.0,101250.0,4
201,0,1,1,225000.0,4,1,1,1,12322,3717,0,0,0,2.0,10.0,1.0,112500.0,3
202,0,0,0,135000.0,4,1,1,1,14185,4447,1,0,0,2.0,8.0,1.0,67500.0,3
203,1,1,1,360000.0,0,4,1,1,11613,4031,0,1,0,2.0,41.0,2.0,180000.0,3
204,1,0,0,382500.0,4,4,1,2,17254,1207,1,1,0,2.0,46.0,1.0,191250.0,4
205,0,0,1,171000.0,4,4,3,4,16938,673,0,0,0,1.0,28.0,2.0,171000.0,4
206,1,0,0,292500.0,2,4,1,1,11365,2745,1,1,0,2.0,48.0,1.0,146250.0,3
207,0,1,0,144000.0,4,4,4,1,14407,1345,0,0,0,1.0,6.0,2.0,144000.0,3
208,0,0,0,112500.0,2,1,1,1,11604,2721,0,0,1,4.0,3.0,0.0,28125.0,3
209,0,0,1,81000.0,1,4,1,1,21383,0,0,1,0,2.0,18.0,2.0,40500.0,5
210,0,1,1,225000.0,4,1,2,1,14816,1672,0,0,0,2.0,0.0,1.0,112500.0,4
211,0,0,1,315000.0,0,1,2,1,17752,2380,1,1,0,1.0,52.0,2.0,315000.0,4
212,1,1,1,427500.0,4,1,1,1,15085,354,0,0,0,3.0,3.0,1.0,142500.0,4
213,0,0,0,78750.0,4,4,1,5,12104,2045,1,0,0,2.0,13.0,2.0,39375.0,3
214,0,0,0,67500.0,1,1,4,1,24081,0,0,0,0,1.0,30.0,0.0,67500.0,6
215,0,0,1,121500.0,4,4,1,1,22046,2011,0,0,0,2.0,13.0,2.0,60750.0,6
216,0,0,0,144000.0,4,4,3,1,16898,7310,1,1,0,1.0,42.0,2.0,144000.0,4
217,0,0,1,135000.0,1,4,1,1,22283,0,0,0,0,2.0,45.0,1.0,67500.0,6
218,0,0,0,94500.0,1,4,1,1,21513,0,0,1,0,2.0,41.0,0.0,47250.0,5
219,0,1,0,562500.0,4,1,1,1,14654,2836,1,0,0,2.0,12.0,0.0,281250.0,4
220,0,0,1,90000.0,1,4,3,1,21992,0,0,0,0,1.0,32.0,1.0,90000.0,6
221,0,0,0,72000.0,0,1,1,1,14173,1925,0,0,1,3.0,43.0,2.0,24000.0,3
222,1,0,1,144000.0,4,4,0,1,16979,1830,0,0,0,2.0,11.0,2.0,72000.0,4
223,0,1,0,202500.0,0,4,1,2,21276,1128,0,1,0,2.0,17.0,2.0,101250.0,5
224,0,0,0,270000.0,4,1,1,1,17573,5792,1,1,0,2.0,28.0,2.0,135000.0,4
225,1,1,0,180000.0,4,4,1,1,11498,4491,0,0,0,3.0,12.0,1.0,60000.0,3
226,0,1,1,315000.0,0,1,1,5,12621,1327,0,0,0,4.0,50.0,2.0,78750.0,3
227,1,1,1,180000.0,4,4,1,1,19565,3246,0,0,0,2.0,49.0,1.0,90000.0,5
228,1,0,1,292500.0,0,1,3,4,9990,1221,0,1,0,1.0,7.0,0.0,292500.0,2
229,0,0,1,90000.0,1,1,1,1,21340,0,0,0,0,2.0,51.0,2.0,45000.0,5
230,0,0,0,103500.0,4,4,1,1,17767,11062,1,0,0,2.0,37.0,2.0,51750.0,4
231,0,1,0,67500.0,1,4,1,1,22989,0,0,1,0,2.0,19.0,2.0,33750.0,6
232,0,1,1,225000.0,4,1,0,1,11067,492,0,0,0,2.0,17.0,0.0,112500.0,3
233,1,1,1,112500.0,4,4,1,1,16076,7679,0,0,0,2.0,27.0,1.0,56250.0,4
234,1,1,1,450000.0,0,4,1,1,18318,923,0,1,1,2.0,59.0,1.0,225000.0,5
235,1,0,1,247500.0,0,1,0,1,15995,401,0,0,0,2.0,11.0,1.0,123750.0,4
236,1,1,0,247500.0,0,4,1,1,17455,1321,0,0,0,2.0,20.0,1.0,123750.0,4
237,0,0,0,112500.0,2,4,1,1,14216,6649,1,1,0,2.0,27.0,2.0,56250.0,3
238,1,0,0,225000.0,4,4,1,1,15634,158,1,0,0,2.0,29.0,2.0,112500.0,4
239,0,1,1,270000.0,4,1,2,1,14052,140,0,1,1,2.0,37.0,2.0,135000.0,3
240,1,1,0,382500.0,2,1,1,3,11960,4174,0,0,0,2.0,3.0,1.0,191250.0,3
241,1,0,0,202500.0,4,4,1,1,12703,3141,0,1,0,4.0,18.0,1.0,50625.0,3
242,0,0,0,180000.0,0,4,1,1,13791,1353,1,0,0,4.0,6.0,2.0,45000.0,3
243,0,0,1,112500.0,0,4,3,1,15903,762,0,0,0,1.0,13.0,2.0,112500.0,4
244,1,0,0,99000.0,4,4,3,1,17876,5239,0,0,0,2.0,1.0,1.0,49500.0,4
245,0,1,1,157500.0,2,4,1,1,13811,3380,0,0,0,3.0,23.0,0.0,52500.0,3
246,0,1,1,202500.0,4,1,1,1,20182,7514,0,0,0,2.0,43.0,1.0,101250.0,5
247,0,0,1,90000.0,4,4,1,1,18474,3021,0,0,1,2.0,28.0,2.0,45000.0,5
248,1,1,1,157500.0,0,1,1,5,14192,626,0,0,0,4.0,47.0,2.0,39375.0,3
249,1,0,0,180000.0,4,1,1,1,14972,1063,0,0,0,2.0,43.0,1.0,90000.0,4
250,1,0,1,180000.0,0,4,1,2,12627,2267,0,0,0,3.0,11.0,1.0,60000.0,3
251,0,0,0,202500.0,1,4,1,1,20565,0,0,1,0,2.0,14.0,2.0,101250.0,5
252,0,1,0,90000.0,4,2,1,4,12383,3480,0,0,0,3.0,6.0,1.0,30000.0,3
253,0,0,1,225000.0,0,1,3,1,19777,6835,1,1,0,1.0,22.0,2.0,225000.0,5
254,0,1,1,126000.0,0,4,1,1,10302,734,0,0,0,2.0,32.0,2.0,63000.0,2
255,0,0,1,180000.0,2,1,1,1,10969,3485,0,0,1,3.0,5.0,1.0,60000.0,3
256,0,0,1,360000.0,0,4,3,1,13576,3560,0,0,0,3.0,25.0,2.0,120000.0,3
257,0,0,1,157500.0,1,4,4,1,23774,0,0,0,0,1.0,17.0,1.0,157500.0,6
258,0,0,1,315000.0,4,4,2,1,15256,3291,0,0,0,1.0,18.0,0.0,315000.0,4
259,0,1,1,270000.0,4,4,1,1,14512,4596,0,0,0,3.0,46.0,2.0,90000.0,3
260,0,0,1,180000.0,4,1,0,1,13767,1882,0,0,0,3.0,41.0,1.0,60000.0,3
261,0,0,1,180000.0,4,4,1,1,13361,6586,1,0,0,4.0,18.0,2.0,45000.0,3
262,1,0,0,180000.0,0,2,1,1,11223,2326,0,0,0,2.0,46.0,2.0,90000.0,3
263,0,0,0,180000.0,4,2,1,5,9911,2665,0,0,0,3.0,38.0,2.0,60000.0,2
264,0,0,0,81000.0,1,4,1,1,22791,0,0,0,0,2.0,33.0,2.0,40500.0,6
265,0,0,0,67500.0,0,4,0,1,9323,1346,0,0,0,2.0,10.0,0.0,33750.0,2
266,0,0,1,238500.0,4,1,1,1,20517,2971,1,1,0,2.0,12.0,2.0,119250.0,5
